    | Name                                                  | Type             | Params
---------------------------------------------------------------------------------------------
0   | model                                                 | GB_Classifier    | 1.9 M
1   | model.embedding                                       | Linear           | 864
2   | model.encoder                                         | SwanDNAEncoder   | 963 K
3   | model.encoder.SwanDNA_blocks                          | ModuleList       | 963 K
4   | model.encoder.SwanDNA_blocks.0                        | SwanDNABlock     | 74.1 K
5   | model.encoder.SwanDNA_blocks.0.prenorm                | Identity         | 0
6   | model.encoder.SwanDNA_blocks.0.norm                   | Identity         | 0
7   | model.encoder.SwanDNA_blocks.0.column_transform       | Mlp              | 74.1 K
8   | model.encoder.SwanDNA_blocks.0.column_transform.fc1   | Linear           | 37.1 K
9   | model.encoder.SwanDNA_blocks.0.column_transform.act   | GELU             | 0
10  | model.encoder.SwanDNA_blocks.0.column_transform.fc2   | Linear           | 37.0 K
11  | model.encoder.SwanDNA_blocks.0.column_transform.drop  | Dropout          | 0
12  | model.encoder.SwanDNA_blocks.0.dropout                | Dropout          | 0
13  | model.encoder.SwanDNA_blocks.0.shift                  | CircularShift    | 0
14  | model.encoder.SwanDNA_blocks.1                        | SwanDNABlock     | 74.1 K
15  | model.encoder.SwanDNA_blocks.1.prenorm                | Identity         | 0
16  | model.encoder.SwanDNA_blocks.1.norm                   | Identity         | 0
17  | model.encoder.SwanDNA_blocks.1.column_transform       | Mlp              | 74.1 K
18  | model.encoder.SwanDNA_blocks.1.column_transform.fc1   | Linear           | 37.1 K
19  | model.encoder.SwanDNA_blocks.1.column_transform.act   | GELU             | 0
20  | model.encoder.SwanDNA_blocks.1.column_transform.fc2   | Linear           | 37.0 K
21  | model.encoder.SwanDNA_blocks.1.column_transform.drop  | Dropout          | 0
22  | model.encoder.SwanDNA_blocks.1.dropout                | Dropout          | 0
23  | model.encoder.SwanDNA_blocks.1.shift                  | CircularShift    | 0
24  | model.encoder.SwanDNA_blocks.2                        | SwanDNABlock     | 74.1 K
25  | model.encoder.SwanDNA_blocks.2.prenorm                | Identity         | 0
26  | model.encoder.SwanDNA_blocks.2.norm                   | Identity         | 0
27  | model.encoder.SwanDNA_blocks.2.column_transform       | Mlp              | 74.1 K
28  | model.encoder.SwanDNA_blocks.2.column_transform.fc1   | Linear           | 37.1 K
29  | model.encoder.SwanDNA_blocks.2.column_transform.act   | GELU             | 0
30  | model.encoder.SwanDNA_blocks.2.column_transform.fc2   | Linear           | 37.0 K
31  | model.encoder.SwanDNA_blocks.2.column_transform.drop  | Dropout          | 0
32  | model.encoder.SwanDNA_blocks.2.dropout                | Dropout          | 0
33  | model.encoder.SwanDNA_blocks.2.shift                  | CircularShift    | 0
34  | model.encoder.SwanDNA_blocks.3                        | SwanDNABlock     | 74.1 K
35  | model.encoder.SwanDNA_blocks.3.prenorm                | Identity         | 0
36  | model.encoder.SwanDNA_blocks.3.norm                   | Identity         | 0
37  | model.encoder.SwanDNA_blocks.3.column_transform       | Mlp              | 74.1 K
38  | model.encoder.SwanDNA_blocks.3.column_transform.fc1   | Linear           | 37.1 K
39  | model.encoder.SwanDNA_blocks.3.column_transform.act   | GELU             | 0
40  | model.encoder.SwanDNA_blocks.3.column_transform.fc2   | Linear           | 37.0 K
41  | model.encoder.SwanDNA_blocks.3.column_transform.drop  | Dropout          | 0
42  | model.encoder.SwanDNA_blocks.3.dropout                | Dropout          | 0
43  | model.encoder.SwanDNA_blocks.3.shift                  | CircularShift    | 0
44  | model.encoder.SwanDNA_blocks.4                        | SwanDNABlock     | 74.1 K
45  | model.encoder.SwanDNA_blocks.4.prenorm                | Identity         | 0
46  | model.encoder.SwanDNA_blocks.4.norm                   | Identity         | 0
47  | model.encoder.SwanDNA_blocks.4.column_transform       | Mlp              | 74.1 K
48  | model.encoder.SwanDNA_blocks.4.column_transform.fc1   | Linear           | 37.1 K
49  | model.encoder.SwanDNA_blocks.4.column_transform.act   | GELU             | 0
50  | model.encoder.SwanDNA_blocks.4.column_transform.fc2   | Linear           | 37.0 K
51  | model.encoder.SwanDNA_blocks.4.column_transform.drop  | Dropout          | 0
52  | model.encoder.SwanDNA_blocks.4.dropout                | Dropout          | 0
53  | model.encoder.SwanDNA_blocks.4.shift                  | CircularShift    | 0
54  | model.encoder.SwanDNA_blocks.5                        | SwanDNABlock     | 74.1 K
55  | model.encoder.SwanDNA_blocks.5.prenorm                | Identity         | 0
56  | model.encoder.SwanDNA_blocks.5.norm                   | Identity         | 0
57  | model.encoder.SwanDNA_blocks.5.column_transform       | Mlp              | 74.1 K
58  | model.encoder.SwanDNA_blocks.5.column_transform.fc1   | Linear           | 37.1 K
59  | model.encoder.SwanDNA_blocks.5.column_transform.act   | GELU             | 0
60  | model.encoder.SwanDNA_blocks.5.column_transform.fc2   | Linear           | 37.0 K
61  | model.encoder.SwanDNA_blocks.5.column_transform.drop  | Dropout          | 0
62  | model.encoder.SwanDNA_blocks.5.dropout                | Dropout          | 0
63  | model.encoder.SwanDNA_blocks.5.shift                  | CircularShift    | 0
64  | model.encoder.SwanDNA_blocks.6                        | SwanDNABlock     | 74.1 K
65  | model.encoder.SwanDNA_blocks.6.prenorm                | Identity         | 0
66  | model.encoder.SwanDNA_blocks.6.norm                   | Identity         | 0
67  | model.encoder.SwanDNA_blocks.6.column_transform       | Mlp              | 74.1 K
68  | model.encoder.SwanDNA_blocks.6.column_transform.fc1   | Linear           | 37.1 K
69  | model.encoder.SwanDNA_blocks.6.column_transform.act   | GELU             | 0
70  | model.encoder.SwanDNA_blocks.6.column_transform.fc2   | Linear           | 37.0 K
71  | model.encoder.SwanDNA_blocks.6.column_transform.drop  | Dropout          | 0
72  | model.encoder.SwanDNA_blocks.6.dropout                | Dropout          | 0
